day,weight,breed,gender,animal_id,farm
365,226.79093668505732,AC,Females,AC_F_1,Farm2
395,244.52965090231862,AC,Females,AC_F_1,Farm2
425,258.2968647952432,AC,Females,AC_F_1,Farm2
455,263.95097788062924,AC,Females,AC_F_1,Farm2
485,278.544678459643,AC,Females,AC_F_1,Farm2
515,285.8926765784763,AC,Females,AC_F_1,Farm2
545,294.0098661106754,AC,Females,AC_F_1,Farm2
575,297.991508910411,AC,Females,AC_F_1,Farm2
605,309.2838120316558,AC,Females,AC_F_1,Farm2
635,318.7949983807685,AC,Females,AC_F_1,Farm2
665,323.91003202453544,AC,Females,AC_F_1,Farm2
695,334.0946388605732,AC,Females,AC_F_1,Farm2
725,337.44578412784455,AC,Females,AC_F_1,Farm2
755,347.9752803934908,AC,Females,AC_F_1,Farm2
785,354.46423031994914,AC,Females,AC_F_1,Farm2
815,357.3606624062126,AC,Females,AC_F_1,Farm2
845,361.7712188453707,AC,Females,AC_F_1,Farm2
875,370.6629405631102,AC,Females,AC_F_1,Farm2
905,372.6038514108831,AC,Females,AC_F_1,Farm2
935,375.7617505378466,AC,Females,AC_F_1,Farm2
965,386.4275618359377,AC,Females,AC_F_1,Farm2
995,391.92238330047917,AC,Females,AC_F_1,Farm2
1025,391.3127090133579,AC,Females,AC_F_1,Farm2
1055,393.4720959910532,AC,Females,AC_F_1,Farm2
1085,400.02740825923377,AC,Females,AC_F_1,Farm2
1115,405.18170637486196,AC,Females,AC_F_1,Farm2
1145,408.24873452635643,AC,Females,AC_F_1,Farm2
1175,412.82697639806486,AC,Females,AC_F_1,Farm2
1205,412.35301519871916,AC,Females,AC_F_1,Farm2
1235,416.43767676714646,AC,Females,AC_F_1,Farm2
1265,419.71263164015545,AC,Females,AC_F_1,Farm2
1295,417.85656261231827,AC,Females,AC_F_1,Farm2
1325,422.9981296653404,AC,Females,AC_F_1,Farm2
1355,429.2884431434637,AC,Females,AC_F_1,Farm2
1385,431.47909848511495,AC,Females,AC_F_1,Farm2
1415,430.5028166120879,AC,Females,AC_F_1,Farm2
1445,437.13296072087735,AC,Females,AC_F_1,Farm2
1475,431.12704340154966,AC,Females,AC_F_1,Farm2
1505,435.1108274145249,AC,Females,AC_F_1,Farm2
1535,436.6139639872891,AC,Females,AC_F_1,Farm2
1565,440.1182057321875,AC,Females,AC_F_1,Farm2
1595,441.8441025951414,AC,Females,AC_F_1,Farm2
1625,444.8169780220471,AC,Females,AC_F_1,Farm2
1655,445.1228256449197,AC,Females,AC_F_1,Farm2
1685,451.072397987977,AC,Females,AC_F_1,Farm2
1715,444.3760103573011,AC,Females,AC_F_1,Farm2
1745,448.60223269347836,AC,Females,AC_F_1,Farm2
1775,452.7403714131344,AC,Females,AC_F_1,Farm2
1805,449.83767631443664,AC,Females,AC_F_1,Farm2
1835,457.1677468496278,AC,Females,AC_F_1,Farm2
1865,452.9576674426828,AC,Females,AC_F_1,Farm2
1895,455.2900115921801,AC,Females,AC_F_1,Farm2
1925,455.0460104480955,AC,Females,AC_F_1,Farm2
1955,456.6999943176881,AC,Females,AC_F_1,Farm2
1985,459.5757053579843,AC,Females,AC_F_1,Farm2
2015,461.41281798329015,AC,Females,AC_F_1,Farm2
2045,458.5608269070783,AC,Females,AC_F_1,Farm2
2075,464.26702841986935,AC,Females,AC_F_1,Farm2
2105,462.32514696862813,AC,Females,AC_F_1,Farm2
2135,461.020713862627,AC,Females,AC_F_1,Farm2
2165,462.168735096142,AC,Females,AC_F_1,Farm2
2195,464.6342044641168,AC,Females,AC_F_1,Farm2
2225,465.68804867936245,AC,Females,AC_F_1,Farm2
2255,465.8418820443447,AC,Females,AC_F_1,Farm2
2285,462.2870928400128,AC,Females,AC_F_1,Farm2
2315,464.30684413341874,AC,Females,AC_F_1,Farm2
2345,468.96619753971487,AC,Females,AC_F_1,Farm2
2375,469.98716025829617,AC,Females,AC_F_1,Farm2
2405,470.9623484793718,AC,Females,AC_F_1,Farm2
2435,465.26196937076736,AC,Females,AC_F_1,Farm2
2465,464.1136796331836,AC,Females,AC_F_1,Farm2
2495,470.5909316061247,AC,Females,AC_F_1,Farm2
2525,469.2340035787308,AC,Females,AC_F_1,Farm2
2555,468.50332256818007,AC,Females,AC_F_1,Farm2
2585,475.87211821934864,AC,Females,AC_F_1,Farm2
2615,469.57964740463166,AC,Females,AC_F_1,Farm2
2645,473.54331231161206,AC,Females,AC_F_1,Farm2
2675,468.087935582566,AC,Females,AC_F_1,Farm2
2705,473.1999030327032,AC,Females,AC_F_1,Farm2
2735,470.107386274926,AC,Females,AC_F_1,Farm2
2765,474.5135144594827,AC,Females,AC_F_1,Farm2
2795,474.550809653049,AC,Females,AC_F_1,Farm2
365,226.38185020339156,AC,Females,AC_F_2,Farm2
395,246.49767891580572,AC,Females,AC_F_2,Farm2
425,256.5198244443074,AC,Females,AC_F_2,Farm2
455,266.39597386892825,AC,Females,AC_F_2,Farm2
485,275.0548832714298,AC,Females,AC_F_2,Farm2
515,284.1919033554767,AC,Females,AC_F_2,Farm2
545,290.80984413462585,AC,Females,AC_F_2,Farm2
575,297.5385813702213,AC,Females,AC_F_2,Farm2
605,303.1232394165843,AC,Females,AC_F_2,Farm2
635,319.0670664535495,AC,Females,AC_F_2,Farm2
665,330.68037322068335,AC,Females,AC_F_2,Farm2
695,331.2609651925916,AC,Females,AC_F_2,Farm2
725,346.4659541010824,AC,Females,AC_F_2,Farm2
755,345.6184936217268,AC,Females,AC_F_2,Farm2
785,351.5072649670743,AC,Females,AC_F_2,Farm2
815,357.66092879568157,AC,Females,AC_F_2,Farm2
845,362.8887756787618,AC,Females,AC_F_2,Farm2
875,361.63945089421975,AC,Females,AC_F_2,Farm2
905,369.43756245324175,AC,Females,AC_F_2,Farm2
935,375.7168936364168,AC,Females,AC_F_2,Farm2
965,377.24296756648545,AC,Females,AC_F_2,Farm2
995,387.6891820071888,AC,Females,AC_F_2,Farm2
1025,391.3186899576681,AC,Females,AC_F_2,Farm2
1055,394.70547497062773,AC,Females,AC_F_2,Farm2
1085,399.9232264804034,AC,Females,AC_F_2,Farm2
1115,403.36974097115433,AC,Females,AC_F_2,Farm2
1145,407.5801537785395,AC,Females,AC_F_2,Farm2
1175,408.2228287034616,AC,Females,AC_F_2,Farm2
1205,410.6736981501853,AC,Females,AC_F_2,Farm2
1235,416.5196325344667,AC,Females,AC_F_2,Farm2
1265,418.09734486890864,AC,Females,AC_F_2,Farm2
1295,418.9326112866263,AC,Females,AC_F_2,Farm2
1325,423.5971792948377,AC,Females,AC_F_2,Farm2
1355,423.44350739823903,AC,Females,AC_F_2,Farm2
1385,433.8191317804043,AC,Females,AC_F_2,Farm2
1415,433.5841777746043,AC,Females,AC_F_2,Farm2
1445,429.88585590198005,AC,Females,AC_F_2,Farm2
1475,435.52376723544876,AC,Females,AC_F_2,Farm2
1505,434.7423934631423,AC,Females,AC_F_2,Farm2
1535,445.4258493838264,AC,Females,AC_F_2,Farm2
1565,438.6853049464621,AC,Females,AC_F_2,Farm2
1595,440.43751610716873,AC,Females,AC_F_2,Farm2
1625,444.32492315696,AC,Females,AC_F_2,Farm2
1655,442.77603586975533,AC,Females,AC_F_2,Farm2
1685,450.1955397423519,AC,Females,AC_F_2,Farm2
1715,449.1898829316054,AC,Females,AC_F_2,Farm2
1745,452.35804830325765,AC,Females,AC_F_2,Farm2
1775,453.97374276579654,AC,Females,AC_F_2,Farm2
1805,449.32053236737306,AC,Females,AC_F_2,Farm2
1835,451.8385471628197,AC,Females,AC_F_2,Farm2
1865,458.96323787923563,AC,Females,AC_F_2,Farm2
1895,458.7701930444558,AC,Females,AC_F_2,Farm2
1925,454.3529905253549,AC,Females,AC_F_2,Farm2
1955,458.04132871166956,AC,Females,AC_F_2,Farm2
1985,455.50192474738907,AC,Females,AC_F_2,Farm2
2015,460.4130043340759,AC,Females,AC_F_2,Farm2
2045,462.8427026150555,AC,Females,AC_F_2,Farm2
2075,462.97118295483074,AC,Females,AC_F_2,Farm2
2105,458.9865677812903,AC,Females,AC_F_2,Farm2
2135,461.9635227197685,AC,Females,AC_F_2,Farm2
2165,465.8813976342672,AC,Females,AC_F_2,Farm2
2195,463.3608685246199,AC,Females,AC_F_2,Farm2
2225,469.36194577140833,AC,Females,AC_F_2,Farm2
2255,465.1214153084082,AC,Females,AC_F_2,Farm2
2285,464.6493540977519,AC,Females,AC_F_2,Farm2
2315,468.443736119812,AC,Females,AC_F_2,Farm2
2345,467.81943471914263,AC,Females,AC_F_2,Farm2
2375,467.2288677996847,AC,Females,AC_F_2,Farm2
2405,472.99235276229973,AC,Females,AC_F_2,Farm2
2435,468.5120267931332,AC,Females,AC_F_2,Farm2
2465,470.2016056104208,AC,Females,AC_F_2,Farm2
2495,470.21567301796864,AC,Females,AC_F_2,Farm2
2525,469.4237843221266,AC,Females,AC_F_2,Farm2
2555,467.5637789071399,AC,Females,AC_F_2,Farm2
