day,weight,breed,gender,animal_id,farm
365,226.9659132323628,AC,Females,AC_F_1,Farm3
395,244.52965090231862,AC,Females,AC_F_1,Farm3
425,258.2968647952432,AC,Females,AC_F_1,Farm3
455,263.9762214842814,AC,Females,AC_F_1,Farm3
485,278.544678459643,AC,Females,AC_F_1,Farm3
515,285.8926765784763,AC,Females,AC_F_1,Farm3
545,294.0098661106754,AC,Females,AC_F_1,Farm3
575,297.991508910411,AC,Females,AC_F_1,Farm3
605,309.2838120316558,AC,Females,AC_F_1,Farm3
635,318.7949983807685,AC,Females,AC_F_1,Farm3
665,323.9558347230857,AC,Females,AC_F_1,Farm3
695,334.0946388605732,AC,Females,AC_F_1,Farm3
725,337.5041436328768,AC,Females,AC_F_1,Farm3
755,347.89359568632216,AC,Females,AC_F_1,Farm3
785,354.46423031994914,AC,Females,AC_F_1,Farm3
815,357.4128679779079,AC,Females,AC_F_1,Farm3
845,362.03685903379665,AC,Females,AC_F_1,Farm3
875,370.6629405631102,AC,Females,AC_F_1,Farm3
905,372.4724107240718,AC,Females,AC_F_1,Farm3
935,375.42625506396996,AC,Females,AC_F_1,Farm3
965,386.4275618359377,AC,Females,AC_F_1,Farm3
995,391.1515807132225,AC,Females,AC_F_1,Farm3
1025,391.3127090133579,AC,Females,AC_F_1,Farm3
1055,393.89331386017886,AC,Females,AC_F_1,Farm3
1085,400.02740825923377,AC,Females,AC_F_1,Farm3
1115,405.18170637486196,AC,Females,AC_F_1,Farm3
1145,408.24873452635643,AC,Females,AC_F_1,Farm3
1175,412.82697639806486,AC,Females,AC_F_1,Farm3
1205,412.5161342283203,AC,Females,AC_F_1,Farm3
1235,416.4098387597191,AC,Females,AC_F_1,Farm3
1265,419.77935152272204,AC,Females,AC_F_1,Farm3
1295,418.57817110993096,AC,Females,AC_F_1,Farm3
1325,422.9981296653404,AC,Females,AC_F_1,Farm3
1355,428.88021613795405,AC,Females,AC_F_1,Farm3
1385,431.1038761043478,AC,Females,AC_F_1,Farm3
1415,430.3660325338475,AC,Females,AC_F_1,Farm3
1445,436.5381495868628,AC,Females,AC_F_1,Farm3
1475,431.97235181474144,AC,Females,AC_F_1,Farm3
1505,435.1108274145249,AC,Females,AC_F_1,Farm3
1535,436.2442336331146,AC,Females,AC_F_1,Farm3
1565,439.9548739836858,AC,Females,AC_F_1,Farm3
1595,441.8441025951414,AC,Females,AC_F_1,Farm3
1625,444.8169780220471,AC,Females,AC_F_1,Farm3
1655,445.1228256449197,AC,Females,AC_F_1,Farm3
1685,451.4623224104036,AC,Females,AC_F_1,Farm3
1715,445.24255816912773,AC,Females,AC_F_1,Farm3
1745,448.60223269347836,AC,Females,AC_F_1,Farm3
1775,452.8476237390846,AC,Females,AC_F_1,Farm3
1805,449.83767631443664,AC,Females,AC_F_1,Farm3
1835,457.1677468496278,AC,Females,AC_F_1,Farm3
1865,452.9576674426828,AC,Females,AC_F_1,Farm3
1895,455.2900115921801,AC,Females,AC_F_1,Farm3
1925,454.7639965996321,AC,Females,AC_F_1,Farm3
1955,456.6999943176881,AC,Females,AC_F_1,Farm3
1985,459.5212736240675,AC,Females,AC_F_1,Farm3
2015,461.56516086043786,AC,Females,AC_F_1,Farm3
2045,458.9919405803335,AC,Females,AC_F_1,Farm3
2075,464.26702841986935,AC,Females,AC_F_1,Farm3
2105,462.3012635948529,AC,Females,AC_F_1,Farm3
2135,460.75379441824754,AC,Females,AC_F_1,Farm3
2165,462.168735096142,AC,Females,AC_F_1,Farm3
2195,464.6397961489632,AC,Females,AC_F_1,Farm3
2225,465.68804867936245,AC,Females,AC_F_1,Farm3
2255,465.8459466089333,AC,Females,AC_F_1,Farm3
2285,461.79643402019855,AC,Females,AC_F_1,Farm3
2315,463.9935811701059,AC,Females,AC_F_1,Farm3
2345,469.15010920422117,AC,Females,AC_F_1,Farm3
2375,469.61905765163425,AC,Females,AC_F_1,Farm3
2405,471.2704249111918,AC,Females,AC_F_1,Farm3
2435,464.83231218744965,AC,Females,AC_F_1,Farm3
2465,465.03427378327694,AC,Females,AC_F_1,Farm3
2495,470.7007595739749,AC,Females,AC_F_1,Farm3
2525,469.1344704382149,AC,Females,AC_F_1,Farm3
2555,468.8479315572249,AC,Females,AC_F_1,Farm3
2585,476.4825004878001,AC,Females,AC_F_1,Farm3
2615,469.85500461058894,AC,Females,AC_F_1,Farm3
2645,473.1680856464486,AC,Females,AC_F_1,Farm3
2675,468.7414317521064,AC,Females,AC_F_1,Farm3
